# group name overrides
# mostly artistic license
AA D	odd
AA K	rock
AA M P	swamp
AA R	star
AA R T	smart
AA T	hot
AE D	bad
E F	laugh
AE F T	craft
AE S K	mask
AE T	cat
AH G	bug
AH L	dull
AH M	plum
AH N T	hunt
AH T	cut
AO	flaw
AO G	dog
AO L	small
AO N	dawn
AO NG K	bonk
AO R	more
AO R D	chord
AO R N	torn
AO R T	sport
AO S	boss
AW L	fowl
AW R	sour
AW T	shout
AY	my
AY P	pipe
AY S	nice
AY T	night
AY Z	wise
EH D	bed
EH G	egg
EH K S	flex
EH M	gem
EH N	ten
EH R	fair
EH T	pet
ER JH	purge
ER T	flirt
EY	may
EY L	scale
EY N T	paint
IH B	crib
IH D	squid
IH G	pig
IH K	quick
IH M	swim
IH N	win
IH N T	mint
IH R	clear
IH S	kiss
IH T	kit
IH Z	whiz
IY CH	beach
IY K	creek
IY L	wheel
IY N	green
IY Z	cheese
OW	show
OW L D	gold
OW Z	rose
UH D	good
UW	true
UW N	moon
UW S	goose
UW T	cute
